127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.90%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.85%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
