10.1.34.147,10.5.71.151,,,, eSim(0.005)=82.39%, eSim(0.008)=88.44%, eSim(0.01)=90.95%, eSim(0.02)=95.15%, eSim(0.03)=96.90%, eSim(0.1)=98.90%, eSim(>=0.1)=1.10%
10.0.0.250,10.0.38.197,,,, eSim(0.005)=73.99%, eSim(0.008)=83.34%, eSim(0.01)=87.84%, eSim(0.02)=95.10%, eSim(0.03)=96.55%, eSim(0.1)=99.05%, eSim(>=0.1)=0.95%
10.0.1.164,10.0.25.58,,,, eSim(0.005)=97.50%, eSim(0.008)=98.05%, eSim(0.01)=98.30%, eSim(0.02)=98.95%, eSim(0.03)=99.05%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.111.89,10.4.75.21,,,, eSim(0.005)=92.55%, eSim(0.008)=93.90%, eSim(0.01)=94.40%, eSim(0.02)=96.50%, eSim(0.03)=97.55%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.32.144,10.3.222.170,,,, eSim(0.005)=77.64%, eSim(0.008)=86.59%, eSim(0.01)=89.89%, eSim(0.02)=95.85%, eSim(0.03)=97.30%, eSim(0.1)=99.25%, eSim(>=0.1)=0.75%
10.0.0.91,10.0.4.255,,,, eSim(0.005)=75.99%, eSim(0.008)=86.59%, eSim(0.01)=91.10%, eSim(0.02)=97.60%, eSim(0.03)=98.75%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.0.0.91,10.0.4.255,,,, eSim(0.005)=74.59%, eSim(0.008)=87.99%, eSim(0.01)=91.65%, eSim(0.02)=97.70%, eSim(0.03)=98.85%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.0.91,10.0.4.255,,,, eSim(0.005)=72.94%, eSim(0.008)=86.84%, eSim(0.01)=90.90%, eSim(0.02)=97.20%, eSim(0.03)=98.55%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.5.13,10.0.5.246,,,, eSim(0.005)=70.09%, eSim(0.008)=82.69%, eSim(0.01)=86.74%, eSim(0.02)=95.10%, eSim(0.03)=96.85%, eSim(0.1)=99.00%, eSim(>=0.1)=1.00%
10.0.1.47,10.4.44.148,,,, eSim(0.005)=81.84%, eSim(0.008)=88.89%, eSim(0.01)=91.45%, eSim(0.02)=97.15%, eSim(0.03)=98.95%, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%
10.1.136.243,10.1.210.110,,,, eSim(0.005)=90.65%, eSim(0.008)=93.70%, eSim(0.01)=95.10%, eSim(0.02)=97.65%, eSim(0.03)=98.55%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.1.47,10.0.3.74,,,, eSim(0.005)=85.89%, eSim(0.008)=92.50%, eSim(0.01)=94.55%, eSim(0.02)=96.90%, eSim(0.03)=98.00%, eSim(0.1)=99.25%, eSim(>=0.1)=0.75%
10.0.0.3,10.4.88.37,,,, eSim(0.005)=84.49%, eSim(0.008)=92.10%, eSim(0.01)=94.15%, eSim(0.02)=97.35%, eSim(0.03)=97.75%, eSim(0.1)=98.65%, eSim(>=0.1)=1.35%
10.0.13.199,10.0.19.217,,,, eSim(0.005)=90.15%, eSim(0.008)=92.75%, eSim(0.01)=93.75%, eSim(0.02)=96.05%, eSim(0.03)=97.45%, eSim(0.1)=98.75%, eSim(>=0.1)=1.25%
10.3.107.101,10.3.145.45,,,, eSim(0.005)=89.04%, eSim(0.008)=91.70%, eSim(0.01)=93.15%, eSim(0.02)=95.85%, eSim(0.03)=96.95%, eSim(0.1)=98.75%, eSim(>=0.1)=1.25%
10.0.0.29,10.0.34.55,,,, eSim(0.005)=95.45%, eSim(0.008)=96.70%, eSim(0.01)=97.60%, eSim(0.02)=98.80%, eSim(0.03)=99.10%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.6.136,10.4.61.83,,,, eSim(0.005)=95.80%, eSim(0.008)=97.50%, eSim(0.01)=98.20%, eSim(0.02)=99.30%, eSim(0.03)=99.40%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
10.0.6.136,10.4.61.83,,,, eSim(0.005)=95.25%, eSim(0.008)=97.40%, eSim(0.01)=98.05%, eSim(0.02)=99.30%, eSim(0.03)=99.45%, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%
10.0.6.136,10.4.61.83,,,, eSim(0.005)=95.95%, eSim(0.008)=97.80%, eSim(0.01)=98.25%, eSim(0.02)=99.10%, eSim(0.03)=99.35%, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%
10.0.6.136,10.4.61.83,,,, eSim(0.005)=96.25%, eSim(0.008)=97.35%, eSim(0.01)=97.95%, eSim(0.02)=98.75%, eSim(0.03)=99.15%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.1.93.62,10.5.82.172,,,, eSim(0.005)=76.99%, eSim(0.008)=87.64%, eSim(0.01)=91.20%, eSim(0.02)=96.30%, eSim(0.03)=97.40%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.0.1.28,10.0.1.31,,,, eSim(0.005)=81.19%, eSim(0.008)=89.69%, eSim(0.01)=93.30%, eSim(0.02)=98.30%, eSim(0.03)=99.05%, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%
10.0.1.28,10.0.1.31,,,, eSim(0.005)=77.29%, eSim(0.008)=89.24%, eSim(0.01)=92.50%, eSim(0.02)=98.10%, eSim(0.03)=98.75%, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%
10.1.172.224,10.4.35.202,,,, eSim(0.005)=91.65%, eSim(0.008)=94.25%, eSim(0.01)=94.75%, eSim(0.02)=96.60%, eSim(0.03)=97.50%, eSim(0.1)=98.95%, eSim(>=0.1)=1.05%
10.1.172.224,10.4.35.202,,,, eSim(0.005)=92.55%, eSim(0.008)=94.80%, eSim(0.01)=95.60%, eSim(0.02)=97.60%, eSim(0.03)=98.40%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
10.0.40.42,10.0.102.96,,,, eSim(0.005)=70.09%, eSim(0.008)=81.89%, eSim(0.01)=86.04%, eSim(0.02)=95.90%, eSim(0.03)=97.35%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.1.93.62,10.5.71.142,,,, eSim(0.005)=74.39%, eSim(0.008)=86.39%, eSim(0.01)=90.20%, eSim(0.02)=96.80%, eSim(0.03)=98.15%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.1.92.89,10.2.201.181,,,, eSim(0.005)=72.64%, eSim(0.008)=81.84%, eSim(0.01)=85.74%, eSim(0.02)=94.00%, eSim(0.03)=96.70%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.0.0.203,10.0.3.117,,,, eSim(0.005)=82.39%, eSim(0.008)=91.95%, eSim(0.01)=94.05%, eSim(0.02)=97.55%, eSim(0.03)=98.45%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.1.33.205,10.3.78.124,,,, eSim(0.005)=95.85%, eSim(0.008)=97.15%, eSim(0.01)=97.80%, eSim(0.02)=98.80%, eSim(0.03)=99.30%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.0.91,10.5.64.145,,,, eSim(0.005)=71.94%, eSim(0.008)=83.54%, eSim(0.01)=88.39%, eSim(0.02)=96.75%, eSim(0.03)=98.35%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.181,10.0.1.159,,,, eSim(0.005)=95.65%, eSim(0.008)=96.90%, eSim(0.01)=97.65%, eSim(0.02)=98.35%, eSim(0.03)=98.60%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.4.118,10.0.14.251,,,, eSim(0.005)=87.39%, eSim(0.008)=92.15%, eSim(0.01)=93.40%, eSim(0.02)=96.70%, eSim(0.03)=97.75%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.0.40.42,10.0.102.96,,,, eSim(0.005)=70.09%, eSim(0.008)=81.89%, eSim(0.01)=86.04%, eSim(0.02)=95.90%, eSim(0.03)=97.35%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.0.91,10.0.10.235,,,, eSim(0.005)=71.49%, eSim(0.008)=84.39%, eSim(0.01)=88.49%, eSim(0.02)=96.95%, eSim(0.03)=97.95%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.3.78.124,10.5.82.142,,,, eSim(0.005)=91.20%, eSim(0.008)=94.45%, eSim(0.01)=95.20%, eSim(0.02)=97.35%, eSim(0.03)=98.35%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.1.164,10.0.25.58,,,, eSim(0.005)=97.50%, eSim(0.008)=98.05%, eSim(0.01)=98.30%, eSim(0.02)=98.95%, eSim(0.03)=99.05%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.1.47,10.0.3.74,,,, eSim(0.005)=85.89%, eSim(0.008)=92.50%, eSim(0.01)=94.55%, eSim(0.02)=96.90%, eSim(0.03)=98.00%, eSim(0.1)=99.25%, eSim(>=0.1)=0.75%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=90.90%, eSim(0.008)=93.55%, eSim(0.01)=94.55%, eSim(0.02)=96.35%, eSim(0.03)=97.25%, eSim(0.1)=99.05%, eSim(>=0.1)=0.95%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=88.84%, eSim(0.008)=91.85%, eSim(0.01)=92.90%, eSim(0.02)=95.65%, eSim(0.03)=97.00%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=88.44%, eSim(0.008)=92.30%, eSim(0.01)=93.70%, eSim(0.02)=95.95%, eSim(0.03)=96.90%, eSim(0.1)=99.20%, eSim(>=0.1)=0.80%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=90.65%, eSim(0.008)=94.05%, eSim(0.01)=95.00%, eSim(0.02)=97.45%, eSim(0.03)=98.00%, eSim(0.1)=99.20%, eSim(>=0.1)=0.80%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=90.25%, eSim(0.008)=93.50%, eSim(0.01)=94.80%, eSim(0.02)=96.75%, eSim(0.03)=97.60%, eSim(0.1)=99.15%, eSim(>=0.1)=0.85%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=86.24%, eSim(0.008)=90.15%, eSim(0.01)=91.30%, eSim(0.02)=95.65%, eSim(0.03)=97.40%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.29,10.2.27.34,,,, eSim(0.005)=89.19%, eSim(0.008)=92.75%, eSim(0.01)=94.05%, eSim(0.02)=96.75%, eSim(0.03)=97.40%, eSim(0.1)=99.25%, eSim(>=0.1)=0.75%
10.0.8.116,10.0.25.131,,,, eSim(0.005)=75.59%, eSim(0.008)=83.29%, eSim(0.01)=86.29%, eSim(0.02)=93.25%, eSim(0.03)=95.25%, eSim(0.1)=99.10%, eSim(>=0.1)=0.90%
10.0.0.19,10.0.0.20,,,, eSim(0.005)=69.13%, eSim(0.008)=80.94%, eSim(0.01)=85.84%, eSim(0.02)=94.95%, eSim(0.03)=97.15%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.0.19,10.0.0.20,,,, eSim(0.005)=73.09%, eSim(0.008)=81.69%, eSim(0.01)=85.84%, eSim(0.02)=94.00%, eSim(0.03)=96.45%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.133,10.0.0.134,,,, eSim(0.005)=84.14%, eSim(0.008)=91.10%, eSim(0.01)=93.25%, eSim(0.02)=97.15%, eSim(0.03)=98.00%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.31.99,10.1.30.51,,,, eSim(0.005)=93.05%, eSim(0.008)=95.10%, eSim(0.01)=95.65%, eSim(0.02)=97.70%, eSim(0.03)=98.40%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.27,10.0.5.160,,,, eSim(0.005)=94.25%, eSim(0.008)=95.60%, eSim(0.01)=96.00%, eSim(0.02)=97.25%, eSim(0.03)=97.90%, eSim(0.1)=99.05%, eSim(>=0.1)=0.95%
