141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59498,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59531,,, eSim(0.01)=98.87%, eSim(0.2)=98.87%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59531,,, eSim(0.01)=98.69%, eSim(0.2)=98.69%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59531,,, eSim(0.01)=98.91%, eSim(0.2)=98.91%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59531,,, eSim(0.01)=98.87%, eSim(0.2)=98.87%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59451,,, eSim(0.01)=99.11%, eSim(0.2)=99.11%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59451,,, eSim(0.01)=99.02%, eSim(0.2)=99.02%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59451,,, eSim(0.01)=99.01%, eSim(0.2)=99.01%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59451,,, eSim(0.01)=99.20%, eSim(0.2)=99.20%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59353,,, eSim(0.01)=99.54%, eSim(0.2)=99.54%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59353,,, eSim(0.01)=99.34%, eSim(0.2)=99.34%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
