10.0.8.132,10.0.53.31,,,25,24327,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.3.78.124,10.5.82.142,,,2384,6699,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.33.168,10.0.219.217,,,25,3956,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.33.168,10.0.219.217,,,25,3956,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.27,10.0.5.160,,,7070,1147,,, eSim(0.01)=27.27%, eSim(0.2)=72.73%, eSim(2.5)=95.45%, eSim(>=2.5)=4.55%
10.0.0.91,10.0.10.235,,,2244,80,,, eSim(0.01)=99.95%, eSim(0.2)=99.95%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.2.53,10.1.27.100,,,61623,20,,, eSim(0.01)=33.33%, eSim(0.2)=66.67%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,61623,20,,, eSim(0.01)=11.11%, eSim(0.2)=33.33%, eSim(2.5)=77.78%, eSim(>=2.5)=22.22%
10.0.2.53,10.1.27.100,,,61623,20,,, eSim(0.01)=33.33%, eSim(0.2)=61.11%, eSim(2.5)=94.44%, eSim(>=2.5)=5.56%
10.0.2.53,10.1.27.100,,,61623,20,,, eSim(0.01)=44.44%, eSim(0.2)=50.00%, eSim(2.5)=94.44%, eSim(>=2.5)=5.56%
10.0.2.53,10.1.27.100,,,64524,20,,, eSim(0.01)=35.71%, eSim(0.2)=57.14%, eSim(2.5)=85.71%, eSim(>=2.5)=14.29%
10.0.2.53,10.1.27.100,,,64524,20,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=0.00%, eSim(>=2.5)=100.00%
10.0.2.53,10.1.27.100,,,64524,20,,, eSim(0.01)=21.05%, eSim(0.2)=73.68%, eSim(2.5)=94.74%, eSim(>=2.5)=5.26%
10.0.97.193,10.2.176.170,,,80,2532,,, eSim(0.01)=76.52%, eSim(0.2)=90.91%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=93.97%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=93.60%, eSim(0.2)=99.93%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.4.118,10.0.14.251,,,110,4532,,, eSim(0.01)=5.56%, eSim(0.2)=50.00%, eSim(2.5)=83.33%, eSim(>=2.5)=16.67%
10.0.0.3,10.4.88.37,,,2287,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.1.0,10.0.1.1,,,14566,2199,,, eSim(0.01)=82.08%, eSim(0.2)=97.80%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.4.168.99,10.5.78.21,,,1167,6699,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.203,10.0.3.117,,,3069,25,,, eSim(0.01)=40.00%, eSim(0.2)=56.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.8.37,10.0.16.61,,,119,19888,,, eSim(0.01)=14.29%, eSim(0.2)=80.95%, eSim(2.5)=97.62%, eSim(>=2.5)=2.38%
10.0.8.37,10.0.16.61,,,119,19888,,, eSim(0.01)=15.38%, eSim(0.2)=46.15%, eSim(2.5)=84.62%, eSim(>=2.5)=15.38%
10.0.147.228,10.4.90.240,,,8847,8268,,, eSim(0.01)=99.31%, eSim(0.2)=99.68%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.33.205,10.3.78.124,,,1082,6699,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.93.62,10.5.82.172,,,1786,3059,,, eSim(0.01)=99.82%, eSim(0.2)=99.82%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.34,10.1.69.22,,,20,1441,,, eSim(0.01)=47.22%, eSim(0.2)=90.28%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
