10.0.147.228,10.4.90.240,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.15%, eSim(10)=100.00%
10.0.0.42,10.3.65.0,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=94.30%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=92.45%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=94.05%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=95.20%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=95.20%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=91.85%, eSim(10)=100.00%
10.0.0.29,10.2.27.34,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=91.70%, eSim(10)=100.00%
10.0.33.168,10.0.219.217,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.33.168,10.0.219.217,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.4.118,10.0.14.251,,,, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%, eSim(0.0001)=98.55%, eSim(10)=100.00%
10.0.41.57,10.2.202.63,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=86.14%, eSim(10)=100.00%
10.0.41.57,10.2.202.63,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=88.59%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=93.40%, eSim(10)=100.00%
10.0.1.0,10.0.1.1,,,, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%, eSim(0.0001)=98.50%, eSim(10)=100.00%
10.0.0.133,10.0.0.134,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=98.45%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=89.59%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=89.19%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=93.30%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=91.40%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=88.94%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=93.60%, eSim(10)=100.00%
10.0.0.108,10.2.108.55,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=92.65%, eSim(10)=100.00%
10.0.0.27,10.0.5.160,,,, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%, eSim(0.0001)=99.45%, eSim(10)=100.00%
10.0.203.22,10.4.88.0,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.1.33.205,10.3.78.124,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.90%, eSim(10)=100.00%
10.0.0.108,10.1.122.56,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=95.40%, eSim(10)=100.00%
10.0.0.108,10.1.122.56,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=89.24%, eSim(10)=100.00%
10.0.0.108,10.1.122.56,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=96.60%, eSim(10)=100.00%
